序號,行政區,院所名稱,地址,緯度,經度,電話,語音預約,緯度,經度
213,士林區,慈田耳鼻喉科診所,臺北市士林區延平北路五段185號1樓,25.0832436,121.5099948,(02)28123595,,25.0832436,121.5099948
214,士林區,榮清耳鼻喉科診所,臺北市士林區文林路483號1樓,25.096134,121.5242199,(02)28316878,,25.096134,121.5242199
215,士林區,樹爸爸親子診所,臺北市士林區德行東路286號,25.1099779,121.5360119,(02)28381838,,25.1099779,121.5360119
216,士林區,橙光耳鼻喉科診所,臺北市士林區大南路286號,25.0888093,121.5193307,(02)28883222,,25.0888093,121.5193307
217,士林區,蕭雨青小兒科診所,臺北市士林區延平北路五段292號,25.0856717,121.5097429,(02)28126415,,25.0856717,121.5097429
218,士林區,耀明診所,臺北市士林區中正路322號,25.0947475,121.5225939,(02)28320657,,25.0947475,121.5225939
219,士林區,蘇慧卿診所,臺北市士林區大南路274號,25.0887571,121.5197184,(02)28829955,,25.0887571,121.5197184
220,士林區,永捷診所,臺北市士林區社子街67號1樓,25.0874978,121.5066888,(02)28111472,,25.0874978,121.5066888
221,北投區,臺北榮民總醫院,臺北市北投區石牌路二段201號,25.1208483,121.5227627,(02)28712121,,25.1208483,121.5227627
222,北投區,振興醫療財團法人振興醫院,臺北市北投區振興路45號,25.1151759,121.515018,(02)28264400,,25.1151759,121.515018
223,北投區,臺北市立關渡醫院-委託臺北榮民總醫院經營,臺北市北投區知行路225巷12號,25.1206037,121.4661496,(02)28587000,,25.1206037,121.4661496
224,北投區,臺北市立聯合醫院附設北投門診部,臺北市北投區新市街30號5樓,25.1328136,121.5026592,(02)28912670,,25.1328136,121.5026592
225,北投區,台北欣安耳鼻喉科診所,臺北市北投區石牌路一段152號,25.1142258,121.5131469,(02)28210501,,25.1142258,121.5131469
226,北投區,何叔芳小兒科診所,臺北市北投區石牌路二段90巷12號1樓,25.1170183,121.5168939,(02)28206886,,25.1170183,121.5168939
227,北投區,宏恩兒科診所,臺北市北投區致遠一路二段99號1樓,25.1128924,121.5129316,(02)28271110,,25.1128924,121.5129316
228,北投區,李伯匯小兒科診所,臺北市北投區石牌路一段93號1樓,25.1139611,121.5117188,(02)28221212,,25.1139611,121.5117188
229,北投區,和勤診所,臺北市北投區中央北路四段543號1樓,25.1276979,121.4676229,(02)28942339,,25.1276979,121.4676229
230,北投區,昱德聯合診所,臺北市北投區光明路102號1樓,25.1330638,121.5012176,(02)28975050,,25.1330638,121.5012176
231,北投區,張晉豪診所,臺北市北投區中央南路一段155號,25.129672,121.50113,(02)28913820,,25.129672,121.50113
232,北投區,清田婦產科家醫科診所,臺北市北投區中和街268號,25.140165,121.500704,(02)28931323,,25.140165,121.500704
233,北投區,陳信方小兒科診所,臺北市北投區明德路106號,25.1097302,121.5197291,(02)28201068,,25.1097302,121.5197291
234,北投區,陳柏宏親子診所,臺北市北投區明德路124號,25.1100718,121.5204832,(02)28225257,,25.1100718,121.5204832
235,北投區,陳獻明小兒科診所,臺北市北投區中央南路一段69號1樓,25.1314836,121.5013446,(02)28928950,,25.1314836,121.5013446
236,北投區,黃正宏診所,臺北市北投區西安街一段359號,25.1142978,121.5152956,(02)28217076,,25.1142978,121.5152956
237,北投區,黃浩魁小兒科診所,臺北市北投區中央北路一段168號,25.135683,121.498289,(02)28983256,,25.135683,121.498289
238,北投區,慈恩耳鼻喉科診所,臺北市北投區中央南路一段13號,25.1328429,121.50153,(02)28978787,,25.1328429,121.50153
239,北投區,蔡秉勳小兒科診所,臺北市北投區中和街281號,25.1402779,121.5003609,(02)28966525,,25.1402779,121.5003609
240,北投區,橙品耳鼻喉科診所,臺北市北投區自強街70號1樓,25.1104907,121.5142177,(02)28200022,,25.1104907,121.5142177
