序號,行政區,院所名稱,地址,緯度,經度,電話,緯度.1,經度.1,district
200,北投區,臺北市立關渡醫院-委託臺北榮民總醫院經營,臺北市北投區知行路225巷12號,25.1206037,121.4661496,02-2858-7000,25.1206037,121.4661496,北投區
201,北投區,臺北市立聯合醫院附設北投門診部,臺北市北投區新市街30號5樓,25.1328136,121.5026592,02-2891-2670,25.1328136,121.5026592,北投區
202,北投區,台北欣安耳鼻喉科診所,臺北市北投區石牌路一段152號,25.1142258,121.5131469,02-2821-0501,25.1142258,121.5131469,北投區
203,北投區,何叔芳小兒科診所,臺北市北投區石牌路二段90巷12號1樓,25.1170183,121.5168939,02-2820-6886,25.1170183,121.5168939,北投區
204,北投區,宏恩兒科診所,臺北市北投區致遠一路二段99號1樓,25.1128924,121.5129316,02-2827-1110,25.1128924,121.5129316,北投區
205,北投區,李伯匯小兒科診所,臺北市北投區石牌路一段93號1樓,25.1139611,121.5117188,02-2822-1212,25.1139611,121.5117188,北投區
206,北投區,和勤診所,臺北市北投區中央北路四段543號1樓,25.1276979,121.4676229,02-2894-2339,25.1276979,121.4676229,北投區
207,北投區,昱德聯合診所,臺北市北投區光明路102號1樓,25.1330638,121.5012176,02-2897-5050,25.1330638,121.5012176,北投區
208,北投區,清田婦產科家醫科診所,臺北市北投區中和街268號,25.140165,121.500704,02-2893-1323,25.140165,121.500704,北投區
209,北投區,陳信方小兒科診所,臺北市北投區明德路106號,25.1097302,121.5197291,02-2820-1068,25.1097302,121.5197291,北投區
210,北投區,陳柏宏親子診所,臺北市北投區明德路124號,25.1100718,121.5204832,02-2822-5257,25.1100718,121.5204832,北投區
211,北投區,陳獻明小兒科診所,臺北市北投區中央南路一段69號1樓,25.1314836,121.5013446,02-2892-8950,25.1314836,121.5013446,北投區
212,北投區,黃正宏診所,臺北市北投區西安街一段359號,25.1142978,121.5152956,02-2821-7076,25.1142978,121.5152956,北投區
213,北投區,黃浩魁小兒科診所,臺北市北投區中央北路一段168號,25.135683,121.498289,02-2898-3256,25.135683,121.498289,北投區
214,北投區,慈恩耳鼻喉科診所,臺北市北投區中央南路一段13號,25.1328429,121.50153,02-2897-8787,25.1328429,121.50153,北投區
215,北投區,蔡秉勳小兒科診所,臺北市北投區中和街281號,25.1402779,121.5003609,02-2896-6525,25.1402779,121.5003609,北投區
216,北投區,橙品耳鼻喉科診所,臺北市北投區自強街70號1樓,25.1104907,121.5142177,02-2820-0022,25.1104907,121.5142177,北投區
