序號,行政區,院所名稱,地址,電話
334,北投區,三軍總醫院北投分院附設民眾診療服務處,臺北市北投區新民路60號,02-2895-9808
335,北投區,醫療財團法人辜公亮基金會和信治癌中心醫院,臺北市北投區立德路125號,02-2897-0011
336,北投區,臺北市立關渡醫院-委託臺北榮民總醫院經營,臺北市北投區知行路225巷12號,02-2858-7000
337,北投區,臺北市立聯合醫院附設北投門診部,臺北市北投區新市街30號5樓,02-2891-2670
338,北投區,大順耳鼻喉科診所,臺北市北投區中和街236號,02-2896-4588
339,北投區,天母力康診所,臺北市北投區明德路365號3樓,02-2821-0866
340,北投區,文遠診所,臺北市北投區石牌路二段346號1樓、2樓,02-2873-9991
341,北投區,王永良診所,臺北市北投區自強街94號,02-2822-7287
342,北投區,台北欣安耳鼻喉科診所,臺北市北投區石牌路一段152號,02-2821-0501
343,北投區,永安家庭醫學科診所,臺北市北投區中央北路一段172號,02-2894-0888
344,北投區,吉安診所,臺北市北投區西安街一段281巷18號,02-2823-1832
345,北投區,何叔芳小兒科診所,臺北市北投區石牌路二段90巷12號1樓,02-2820-6886
346,北投區,宏恩兒科診所,臺北市北投區致遠一路二段99號1樓,02-2827-1110
347,北投區,李伯匯小兒科診所,臺北市北投區石牌路一段93號1樓,02-2822-1212
348,北投區,和勤診所,臺北市北投區中央北路四段543號1樓,02-2894-2339
349,北投區,林文正耳鼻喉科診所,臺北市北投區明德路92號1樓,02-2826-1083
350,北投區,長宏診所,臺北市北投區中央北路二段121號,02-2896-7372
351,北投區,昱德聯合診所,臺北市北投區光明路102號1樓,02-2897-5050
352,北投區,洪耳鼻喉科診所,臺北市北投區中央南路一段43號,02-2892-8769
353,北投區,紀耳鼻喉科診所,臺北市北投區石牌路二段57號,02-2821-4485
354,北投區,祐民聯合診所,臺北市北投區中央南路一段207號,02-2895-1301
355,北投區,常哲診所,臺北市北投區明德路157之4號,02-2828-5515
356,北投區,康田診所,臺北市北投區自強街76號,02-2821-0988
357,北投區,張晉豪診所,臺北市北投區中央南路一段155號,02-2891-3820
358,北投區,張參雄診所,臺北市北投區光明路166-1號,02-2892-6555
359,北投區,清田婦產科家醫科診所,臺北市北投區中和街268號,02-2893-1323
360,北投區,陳信方小兒科診所,臺北市北投區明德路106號,02-2820-1068
361,北投區,陳柏宏親子診所,臺北市北投區明德路124號,02-2822-5257
362,北投區,陳珀勳診所,臺北市北投區明德路85號1樓,02-2820-6263
363,北投區,陳獻明小兒科診所,臺北市北投區中央南路一段69號1樓,02-2892-8950
364,北投區,黃正宏診所,臺北市北投區西安街一段359號,02-2821-7076
365,北投區,黃浩魁小兒科診所,臺北市北投區中央北路一段168號,02-2898-3256
366,北投區,萬泰診所,臺北市北投區中央北路二段52號,02-2893-0727
367,北投區,慈恩耳鼻喉科診所,臺北市北投區中央南路一段13號,02-2897-8787
368,北投區,蔡秉勳小兒科診所,臺北市北投區中和街281號,02-2896-6525
369,北投區,橙品耳鼻喉科診所,臺北市北投區自強街70號1樓,02-2820-0022
370,北投區,翰譽耳鼻喉科診所,臺北市北投區中央南路一段189號1樓,02-2895-9986
