ROW_NO,機構代碼,機構層級,機構名稱,機構電話,機構地址,給藥,衛教
297,593106B812,藥局,柏弘藥局,02-29985688,新北市新莊區昌平街22號1樓,V,V
298,593106B992,藥局,專品幸福藥局,02-22771789,新北市新莊區幸福路４０號、４２號１樓,V,V
299,1331160010,區域醫院,輔仁大學學校財團法人輔仁大學附設醫院,02-85128888,新北市泰山區貴子路69號（地下4層、地上1至9層及13層）,V,V
300,2331160011,衛生所,新北市泰山區衛生所,02-29099921,新北市泰山區全興路212號3樓,V,V
301,3531160267,診所,賴和鴻診所,02-29094502,新北市泰山區明志路2段42號1樓,V,V
302,3531161648,診所,泰安診所,02-22961869,新北市泰山區泰林路2段182號1樓,V,V
303,3531161666,診所,弘森診所,02-29090568,新北市泰山區明志路1段257號,V,V
304,3531161773,診所,永安診所,02-85318184,新北市泰山區仁愛路112之2號1樓,V,
305,2331170017,衛生所,新北市林口區衛生所,02-26068760,新北市林口區忠孝二路55號,V,V
306,3531171733,診所,陽光內科診所,02-86019716,新北市林口區仁愛路2段113、115、117號1樓,V,
307,3531171957,診所,林口微笑親子耳鼻喉科診所,02-26000515,新北市林口區文化3路1段419號1樓、421號1樓,V,
308,3531172132,診所,林口微笑內科診所,02-26000531,新北市林口區文化三路一段419、421號1樓,V,
309,5931170021,藥局,士昌藥局,02-26018863,新北市林口區工六路36號1樓,V,V
310,5931171251,藥局,喜樂藥師藥局,02-26005566,新北市林口區麗林里公園路15號1樓,V,V
311,5931171680,藥局,一家好藥局,02-26028270,新北市林口區中山路500號,V,V
312,5931171706,藥局,榮新藥局,02-26089789,新北市林口區忠孝路383號1樓,V,V
313,5931171742,藥局,唯恩藥局,02-26005805,新北市林口區麗園一街9巷1號1樓之2,V,V
314,2331140019,衛生所,新北市蘆洲區衛生所,02-22812011,新北市蘆洲區中央路58號,V,V
315,3531140505,診所,蘆洲李耳鼻喉科診所,02-28475799,新北市蘆洲區中華街63號1樓,V,V
316,3531140747,診所,啟安婦產科家庭醫學科診所,02-22826085,新北市蘆洲區中山二路111號1樓,V,V
317,3531140943,診所,蘆洲成功耳鼻喉科診所,02-82833588,新北市蘆洲區長安街253號1－2樓,V,V
318,3531142090,診所,鴻文耳鼻喉科診所,02-82863222,新北市蘆洲區集賢路224巷14號,V,
319,3531142198,診所,詠贊聯合診所,02-82831555,新北市蘆洲區中正路85號1－4樓,V,V
320,3531142394,診所,超群耳鼻喉科診所,02-28487547,新北市蘆洲區長安街78號1樓,V,
321,3531142545,診所,長榮耳鼻喉科診所,02-22823350,新北市蘆洲區長榮路15號1樓,V,V
322,3531142714,診所,上安診所,02-22825101,新北市蘆洲區長榮路381號1樓,V,V
323,3531142769,診所,乾祐診所,02-82862232,新北市蘆洲區中正路119號,V,
324,3531142938,診所,黃天一耳鼻喉科診所,02-82811100,新北市蘆洲區中山一路180號1樓,V,V
325,3531143060,診所,健群診所,02-28487669,新北市蘆洲區中華街71號1、2樓,V,V
326,3531143097,診所,建群診所,02-28487669,新北市蘆洲區中華街71號1、2樓,V,V
327,3531143275,診所,福田診所,02-82863287,新北市蘆洲區中正路140號1樓,V,
328,3531143480,診所,弘一診所,02-82860000,新北市蘆洲區重陽街82、86號1樓,V,
329,3531143613,診所,丁良文內科診所,02-82822809,新北市蘆洲區長安街30號1樓,V,V
330,3531143622,診所,健安診所,02-22826588,新北市蘆洲區長安街265號1樓,V,V
331,3531143631,診所,建安診所,02-22826588,新北市蘆洲區長安街265號1樓,V,V
332,3731141864,牙科診所,京華牙醫診所,02-28470199,新北市蘆洲區長榮路375號,V,
333,3731141908,牙科診所,豐華牙醫診所,02-28483721,新北市蘆洲區民權路114號1樓,V,V
334,3731142272,牙科診所,心安牙醫診所,02-82856311,新北市蘆洲區中山二路120號1樓、2樓,V,
335,5931141726,藥局,松展多利日式連鎖藥粧藥局,02-22882586,新北市蘆洲區民族路161號,V,V
336,2331150015,衛生所,新北市五股區衛生所,02-22917717,新北市五股區新城三路11號1樓、2樓及3樓,V,V
337,3531150118,診所,黃志勳診所,02-22910978,新北市五股區成泰路2段69號1樓,V,V
338,3531151517,診所,祐聖小兒科診所,02-82921335,新北市五股區五福路34號1樓,V,V
339,3531151731,診所,五股水碓診所,02-22921516,新北市五股區自強路36號1樓,V,V
340,0131230012,區域醫院,衛生福利部八里療養院,02-26101660,新北市八里區華富山33號、土城區青雲路6號1、2樓、蘆洲區,V,V
341,2331230018,衛生所,新北市八里區衛生所,02-26101902,新北市八里區舊城路16號,V,V
342,3531231207,診所,維醫耳鼻喉科診所,02-26106160,新北市八里區訊塘路68號1、2樓,V,
343,1131100010,醫學中心,台灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院,02-28094661,新北市淡水區民生路45號、民權路47號B1至10樓,V,V
344,2331100015,衛生所,新北市淡水區衛生所,02-26215620,新北市淡水區中山路158號,V,V
345,3531100047,診所,黃秋陽診所,02-26229596,新北市淡水區中山路7號,V,V
346,3531100234,診所,陳世芳診所,02-26227467,新北市淡水區重建街198號,V,V
347,3531105006,診所,恩友診所,02-26268476,新北市淡水區大義街5號1樓,V,
348,5931101624,藥局,北新藥局,02-26293205,新北市淡水區北新路182巷63號,V,V
349,5931101651,藥局,天文大藥局,02-86312050,新北市淡水區新春街136號,V,V
350,2331210016,衛生所,新北市三芝區衛生所,02-26362007,新北市三芝區中山路1段12號,V,V
351,3531211081,診所,三芝彭小兒科診所,02-26369622,新北市三芝區埔頭里中山路一段59號1樓,V,V
352,2331220012,衛生所,新北市石門區衛生所,02-26381007,新北市石門區中山路28－1號,V,V
